NUGET,SBOM_dependencies,CVE
humanizer.core.mt@2.14.1,humanizer.core.mt@2.14.1,NA
humanizer.core.nb-no@2.14.1,humanizer.core.nb-no@2.14.1,NA
humanizer.core.nb@2.14.1,humanizer.core.nb@2.14.1,NA
humanizer.core.nl@2.14.1,humanizer.core.nl@2.14.1,NA
humanizer.core.pl@2.14.1,humanizer.core.pl@2.14.1,NA
humanizer.core.pt@2.14.1,humanizer.core.pt@2.14.1,NA
humanizer.core.ro@2.14.1,humanizer.core.ro@2.14.1,NA
humanizer.core.ru@2.14.1,humanizer.core.ru@2.14.1,NA
humanizer.core.sk@2.14.1,humanizer.core.sk@2.14.1,NA
humanizer.core.sl@2.14.1,humanizer.core.sl@2.14.1,NA
humanizer.core.sr-latn@2.14.1,humanizer.core.sr-latn@2.14.1,NA
humanizer.core.sr@2.14.1,humanizer.core.sr@2.14.1,NA
humanizer.core.sv@2.14.1,humanizer.core.sv@2.14.1,NA
humanizer.core.th-th@2.14.1,humanizer.core.th-th@2.14.1,NA
humanizer.core.tr@2.14.1,humanizer.core.tr@2.14.1,NA
humanizer.core.uk@2.14.1,humanizer.core.uk@2.14.1,NA
humanizer.core.uz-cyrl-uz@2.14.1,humanizer.core.uz-cyrl-uz@2.14.1,NA
humanizer.core.uz-latn-uz@2.14.1,humanizer.core.uz-latn-uz@2.14.1,NA
humanizer.core.vi@2.14.1,humanizer.core.vi@2.14.1,NA
humanizer.core.zh-cn@2.14.1,humanizer.core.zh-cn@2.14.1,NA
humanizer.core.zh-hans@2.14.1,humanizer.core.zh-hans@2.14.1,NA
humanizer.core.zh-hant@2.14.1,humanizer.core.zh-hant@2.14.1,NA
humanizer.core@2.14.1,humanizer.core@2.14.1,NA
humanizer@2.14.1,humanizer@2.14.1,NA
irony.netcore@1.0.11,irony.netcore@1.0.11,NA
jose-jwt@2.5.0,jose-jwt@2.5.0,NA
jsonsubtypes@1.2.0,jsonsubtypes@1.2.0,NA
ligershark.weboptimizer.core@3.0.380,ligershark.weboptimizer.core@3.0.380,NA
linq2db@4.3.0,linq2db@4.3.0,NA
mailkit@3.4.3,mailkit@3.4.3,NA
maxmind.db@4.0.0,maxmind.db@4.0.0,NA
maxmind.geoip2@5.1.0,maxmind.geoip2@5.1.0,NA
microsoft.aspnetcore.authentication.facebook@7.0.3,microsoft.aspnetcore.authentication.facebook@7.0.3,NA
microsoft.aspnetcore.cryptography.internal@3.1.32,microsoft.aspnetcore.cryptography.internal@3.1.32,NA
