From_Source,Securin-SBOM,Checkmarx-SBOM,CVE[Securin],License[Securin]
runtime.native.system@4.3.0,runtime.native.system@4.3.0,runtime.native.system@4.3.0,NA,NA
runtime.opensuse.13.2-x64.runtime.native.system.security.cryptography.openssl@4.3.0,runtime.opensuse.13.2-x64.runtime.native.system.security.cryptography.openssl@4.3.0,NA,NA,NA
runtime.opensuse.13.2-x64.runtime.native.system.security.cryptography.openssl@4.3.2,runtime.opensuse.13.2-x64.runtime.native.system.security.cryptography.openssl@4.3.2,runtime.opensuse.13.2-x64.runtime.native.system.security.cryptography.openssl@4.3.2,NA,NA
runtime.opensuse.42.1-x64.runtime.native.system.security.cryptography.openssl@4.3.0,runtime.opensuse.42.1-x64.runtime.native.system.security.cryptography.openssl@4.3.0,NA,NA,NA
runtime.opensuse.42.1-x64.runtime.native.system.security.cryptography.openssl@4.3.2,runtime.opensuse.42.1-x64.runtime.native.system.security.cryptography.openssl@4.3.2,runtime.opensuse.42.1-x64.runtime.native.system.security.cryptography.openssl@4.3.2,NA,NA
runtime.osx.10.10-x64.runtime.native.system.security.cryptography.apple@4.3.0,runtime.osx.10.10-x64.runtime.native.system.security.cryptography.apple@4.3.0,runtime.osx.10.10-x64.runtime.native.system.security.cryptography.apple@4.3.0,NA,NA
runtime.osx.10.10-x64.runtime.native.system.security.cryptography.openssl@4.3.0,runtime.osx.10.10-x64.runtime.native.system.security.cryptography.openssl@4.3.0,NA,NA,NA
runtime.osx.10.10-x64.runtime.native.system.security.cryptography.openssl@4.3.2,runtime.osx.10.10-x64.runtime.native.system.security.cryptography.openssl@4.3.2,runtime.osx.10.10-x64.runtime.native.system.security.cryptography.openssl@4.3.2,NA,NA
runtime.rhel.7-x64.runtime.native.system.security.cryptography.openssl@4.3.0,runtime.rhel.7-x64.runtime.native.system.security.cryptography.openssl@4.3.0,NA,NA,NA
runtime.rhel.7-x64.runtime.native.system.security.cryptography.openssl@4.3.2,runtime.rhel.7-x64.runtime.native.system.security.cryptography.openssl@4.3.2,runtime.rhel.7-x64.runtime.native.system.security.cryptography.openssl@4.3.2,NA,NA
runtime.ubuntu.14.04-x64.runtime.native.system.security.cryptography.openssl@4.3.0,runtime.ubuntu.14.04-x64.runtime.native.system.security.cryptography.openssl@4.3.0,NA,NA,NA
runtime.ubuntu.14.04-x64.runtime.native.system.security.cryptography.openssl@4.3.2,runtime.ubuntu.14.04-x64.runtime.native.system.security.cryptography.openssl@4.3.2,runtime.ubuntu.14.04-x64.runtime.native.system.security.cryptography.openssl@4.3.2,NA,NA
runtime.ubuntu.16.04-x64.runtime.native.system.security.cryptography.openssl@4.3.0,runtime.ubuntu.16.04-x64.runtime.native.system.security.cryptography.openssl@4.3.0,NA,NA,NA
runtime.ubuntu.16.04-x64.runtime.native.system.security.cryptography.openssl@4.3.2,runtime.ubuntu.16.04-x64.runtime.native.system.security.cryptography.openssl@4.3.2,runtime.ubuntu.16.04-x64.runtime.native.system.security.cryptography.openssl@4.3.2,NA,NA
runtime.ubuntu.16.10-x64.runtime.native.system.security.cryptography.openssl@4.3.0,runtime.ubuntu.16.10-x64.runtime.native.system.security.cryptography.openssl@4.3.0,NA,NA,NA
runtime.ubuntu.16.10-x64.runtime.native.system.security.cryptography.openssl@4.3.2,runtime.ubuntu.16.10-x64.runtime.native.system.security.cryptography.openssl@4.3.2,runtime.ubuntu.16.10-x64.runtime.native.system.security.cryptography.openssl@4.3.2,NA,NA
shimskiasharp@0.5.18,shimskiasharp@0.5.18,NA,NA,NA
sib_api_v3_sdk@3.3.0,sib_api_v3_sdk@3.3.0,sib_api_v3_sdk@3.3.0,NA,NA
sixlabors.fonts@1.0.0-beta18,sixlabors.fonts@1.0.0-beta18,sixlabors.fonts@1.0.0-beta18,NA,NA
skiasharp.harfbuzz@2.88.3,skiasharp.harfbuzz@2.88.3,NA,NA,NA
skiasharp.nativeassets.linux.nodependencies@2.88.3,skiasharp.nativeassets.linux.nodependencies@2.88.3,NA,NA,NA
skiasharp.nativeassets.macos@2.88.3,skiasharp.nativeassets.macos@2.88.3,NA,NA,NA
skiasharp.nativeassets.win32@2.88.3,skiasharp.nativeassets.win32@2.88.3,NA,NA,NA
skiasharp@2.88.3,skiasharp@2.88.3,NA,NA,NA
sqlitepclraw.bundle_e_sqlite3@2.1.2,sqlitepclraw.bundle_e_sqlite3@2.1.2,sqlitepclraw.bundle_e_sqlite3@2.1.2,NA,NA
sqlitepclraw.core@2.1.2,sqlitepclraw.core@2.1.2,sqlitepclraw.core@2.1.2,NA,NA
sqlitepclraw.lib.e_sqlite3@2.1.2,sqlitepclraw.lib.e_sqlite3@2.1.2,sqlitepclraw.lib.e_sqlite3@2.1.2,NA,NA
sqlitepclraw.provider.e_sqlite3@2.1.2,sqlitepclraw.provider.e_sqlite3@2.1.2,sqlitepclraw.provider.e_sqlite3@2.1.2,NA,NA
stackexchange.redis@2.2.4,stackexchange.redis@2.2.4,stackexchange.redis@2.2.4,NA,NA
svg.custom@0.5.18,svg.custom@0.5.18,NA,NA,NA
svg.model@0.5.18,svg.model@0.5.18,NA,NA,NA
svg.skia@0.5.18,svg.skia@0.5.18,NA,NA,NA
system.appcontext@4.3.0,system.appcontext@4.3.0,system.appcontext@4.3.0,NA,NA
system.buffers@4.3.0,system.buffers@4.3.0,NA,NA,NA
system.buffers@4.5.1,system.buffers@4.5.1,system.buffers@4.5.1,NA,NA
system.collections.concurrent@4.3.0,system.collections.concurrent@4.3.0,system.collections.concurrent@4.3.0,NA,NA
system.collections.immutable@5.0.0,system.collections.immutable@5.0.0,system.collections.immutable@5.0.0,NA,NA
system.collections.nongeneric@4.3.0,system.collections.nongeneric@4.3.0,system.collections.nongeneric@4.3.0,NA,NA
system.collections.specialized@4.3.0,system.collections.specialized@4.3.0,system.collections.specialized@4.3.0,NA,NA
system.collections@4.3.0,system.collections@4.3.0,system.collections@4.3.0,NA,NA
system.componentmodel.annotations@4.4.1,system.componentmodel.annotations@4.4.1,system.componentmodel.annotations@4.4.1,NA,NA
system.componentmodel.annotations@4.7.0,system.componentmodel.annotations@4.7.0,system.componentmodel.annotations@4.7.0,NA,NA
system.componentmodel.primitives@4.3.0,system.componentmodel.primitives@4.3.0,system.componentmodel.primitives@4.3.0,NA,NA
system.componentmodel.typeconverter@4.3.0,system.componentmodel.typeconverter@4.3.0,system.componentmodel.typeconverter@4.3.0,NA,NA
system.componentmodel@4.3.0,system.componentmodel@4.3.0,system.componentmodel@4.3.0,NA,NA
system.configuration.configurationmanager@4.4.0,system.configuration.configurationmanager@4.4.0,NA,NA,NA
system.configuration.configurationmanager@4.7.0,system.configuration.configurationmanager@4.7.0,NA,NA,NA
system.configuration.configurationmanager@5.0.0,system.configuration.configurationmanager@5.0.0,system.configuration.configurationmanager@5.0.0,NA,NA
system.configuration.configurationmanager@7.0.0,system.configuration.configurationmanager@7.0.0,system.configuration.configurationmanager@7.0.0,NA,NA
system.console@4.3.0,system.console@4.3.0,system.console@4.3.0,NA,NA
system.data.common@4.3.0,system.data.common@4.3.0,NA,NA,NA
system.diagnostics.debug@4.3.0,system.diagnostics.debug@4.3.0,system.diagnostics.debug@4.3.0,NA,NA
system.diagnostics.diagnosticsource@4.3.0,system.diagnostics.diagnosticsource@4.3.0,NA,NA,NA
system.diagnostics.diagnosticsource@5.0.0,system.diagnostics.diagnosticsource@5.0.0,system.diagnostics.diagnosticsource@5.0.0,NA,NA
system.diagnostics.diagnosticsource@6.0.0,system.diagnostics.diagnosticsource@6.0.0,system.diagnostics.diagnosticsource@6.0.0,NA,NA
system.diagnostics.eventlog@6.0.0,system.diagnostics.eventlog@6.0.0,NA,NA,NA
system.diagnostics.eventlog@7.0.0,system.diagnostics.eventlog@7.0.0,system.diagnostics.eventlog@7.0.0,NA,NA
system.diagnostics.performancecounter@5.0.0,system.diagnostics.performancecounter@5.0.0,system.diagnostics.performancecounter@5.0.0,NA,NA
system.diagnostics.process@4.3.0,system.diagnostics.process@4.3.0,system.diagnostics.process@4.3.0,NA,NA
system.diagnostics.stacktrace@4.3.0,system.diagnostics.stacktrace@4.3.0,NA,NA,NA
system.diagnostics.tools@4.3.0,system.diagnostics.tools@4.3.0,system.diagnostics.tools@4.3.0,NA,NA
system.diagnostics.tracing@4.3.0,system.diagnostics.tracing@4.3.0,system.diagnostics.tracing@4.3.0,NA,NA
system.drawing.common@4.7.0,system.drawing.common@4.7.0,NA,['CVE-2021-24112'],NA
system.drawing.common@5.0.0,system.drawing.common@5.0.0,system.drawing.common@5.0.0,['CVE-2021-24112'],NA
system.drawing.common@7.0.0,system.drawing.common@7.0.0,system.drawing.common@7.0.0,NA,NA
system.dynamic.runtime@4.3.0,system.dynamic.runtime@4.3.0,system.dynamic.runtime@4.3.0,NA,NA
system.formats.asn1@5.0.0,system.formats.asn1@5.0.0,system.formats.asn1@5.0.0,NA,NA
system.formats.asn1@6.0.0,system.formats.asn1@6.0.0,system.formats.asn1@6.0.0,NA,NA
system.globalization.calendars@4.3.0,system.globalization.calendars@4.3.0,system.globalization.calendars@4.3.0,NA,NA
system.globalization.extensions@4.3.0,system.globalization.extensions@4.3.0,system.globalization.extensions@4.3.0,NA,NA
system.globalization@4.3.0,system.globalization@4.3.0,system.globalization@4.3.0,NA,NA
system.identitymodel.tokens.jwt@6.24.0,system.identitymodel.tokens.jwt@6.24.0,system.identitymodel.tokens.jwt@6.24.0,NA,NA
system.identitymodel.tokens.jwt@6.8.0,system.identitymodel.tokens.jwt@6.8.0,system.identitymodel.tokens.jwt@6.8.0,NA,NA
system.io.compression.zipfile@4.3.0,system.io.compression.zipfile@4.3.0,system.io.compression.zipfile@4.3.0,NA,NA
system.io.compression@4.3.0,system.io.compression@4.3.0,system.io.compression@4.3.0,NA,NA
system.io.filesystem.accesscontrol@5.0.0,system.io.filesystem.accesscontrol@5.0.0,system.io.filesystem.accesscontrol@5.0.0,NA,NA
system.io.filesystem.primitives@4.3.0,system.io.filesystem.primitives@4.3.0,system.io.filesystem.primitives@4.3.0,NA,NA
system.io.filesystem@4.3.0,system.io.filesystem@4.3.0,system.io.filesystem@4.3.0,NA,NA
system.io.hashing@6.0.0,system.io.hashing@6.0.0,system.io.hashing@6.0.0,NA,NA
system.io.packaging@6.0.0,system.io.packaging@6.0.0,system.io.packaging@6.0.0,NA,NA
system.io.pipelines@5.0.0,system.io.pipelines@5.0.0,system.io.pipelines@5.0.0,NA,NA
system.io@4.3.0,system.io@4.3.0,system.io@4.3.0,NA,NA
system.linq.async@6.0.1,system.linq.async@6.0.1,system.linq.async@6.0.1,NA,NA
system.linq.dynamic.core@1.3.1,system.linq.dynamic.core@1.3.1,system.linq.dynamic.core@1.3.1,NA,NA
system.linq.expressions@4.3.0,system.linq.expressions@4.3.0,system.linq.expressions@4.3.0,NA,NA
system.linq@4.3.0,system.linq@4.3.0,system.linq@4.3.0,NA,NA
system.memory.data@1.0.2,system.memory.data@1.0.2,system.memory.data@1.0.2,NA,NA
system.memory@4.5.3,system.memory@4.5.3,NA,NA,NA
system.memory@4.5.4,system.memory@4.5.4,system.memory@4.5.4,NA,NA
system.net.http@4.3.0,system.net.http@4.3.0,NA,NA,NA
system.net.http@4.3.2,system.net.http@4.3.2,NA,['CVE-2018-8292'],NA
system.net.http@4.3.4,system.net.http@4.3.4,system.net.http@4.3.4,NA,NA
system.net.nameresolution@4.3.0,system.net.nameresolution@4.3.0,system.net.nameresolution@4.3.0,NA,NA
system.net.primitives@4.3.0,system.net.primitives@4.3.0,system.net.primitives@4.3.0,NA,NA
system.net.requests@4.0.11,system.net.requests@4.0.11,system.net.requests@4.0.11,NA,NA
system.net.sockets@4.3.0,system.net.sockets@4.3.0,system.net.sockets@4.3.0,NA,NA
system.net.webheadercollection@4.0.1,system.net.webheadercollection@4.0.1,system.net.webheadercollection@4.0.1,NA,NA
system.numerics.vectors@4.5.0,system.numerics.vectors@4.5.0,system.numerics.vectors@4.5.0,NA,NA
system.objectmodel@4.3.0,system.objectmodel@4.3.0,system.objectmodel@4.3.0,NA,NA
system.private.datacontractserialization@4.1.1,system.private.datacontractserialization@4.1.1,NA,['CVE-2023-21538'],NA
system.private.datacontractserialization@4.3.0,system.private.datacontractserialization@4.3.0,system.private.datacontractserialization@4.3.0,['CVE-2023-21538'],NA
system.private.servicemodel@4.10.0,system.private.servicemodel@4.10.0,system.private.servicemodel@4.10.0,NA,NA
system.private.uri@4.3.2,system.private.uri@4.3.2,system.private.uri@4.3.2,NA,NA
system.reflection.dispatchproxy@4.7.1,system.reflection.dispatchproxy@4.7.1,system.reflection.dispatchproxy@4.7.1,NA,NA
system.reflection.emit.ilgeneration@4.3.0,system.reflection.emit.ilgeneration@4.3.0,system.reflection.emit.ilgeneration@4.3.0,NA,NA
system.reflection.emit.lightweight@4.3.0,system.reflection.emit.lightweight@4.3.0,system.reflection.emit.lightweight@4.3.0,NA,NA
system.reflection.emit@4.3.0,system.reflection.emit@4.3.0,system.reflection.emit@4.3.0,NA,NA
system.reflection.extensions@4.3.0,system.reflection.extensions@4.3.0,system.reflection.extensions@4.3.0,NA,NA
system.reflection.metadata@1.6.0,system.reflection.metadata@1.6.0,NA,NA,NA
system.reflection.metadata@5.0.0,system.reflection.metadata@5.0.0,system.reflection.metadata@5.0.0,NA,NA
system.reflection.primitives@4.3.0,system.reflection.primitives@4.3.0,system.reflection.primitives@4.3.0,NA,NA
system.reflection.typeextensions@4.3.0,system.reflection.typeextensions@4.3.0,system.reflection.typeextensions@4.3.0,NA,NA
system.reflection@4.3.0,system.reflection@4.3.0,system.reflection@4.3.0,NA,NA
system.resources.resourcemanager@4.3.0,system.resources.resourcemanager@4.3.0,system.resources.resourcemanager@4.3.0,NA,NA
system.runtime.caching@4.7.0,system.runtime.caching@4.7.0,NA,NA,NA
system.runtime.caching@5.0.0,system.runtime.caching@5.0.0,system.runtime.caching@5.0.0,NA,NA
system.runtime.caching@6.0.0,system.runtime.caching@6.0.0,system.runtime.caching@6.0.0,NA,NA
system.runtime.compilerservices.unsafe@5.0.0,system.runtime.compilerservices.unsafe@5.0.0,system.runtime.compilerservices.unsafe@5.0.0,NA,NA
system.runtime.compilerservices.unsafe@6.0.0,system.runtime.compilerservices.unsafe@6.0.0,system.runtime.compilerservices.unsafe@6.0.0,NA,NA
system.runtime.extensions@4.3.0,system.runtime.extensions@4.3.0,system.runtime.extensions@4.3.0,NA,NA
system.runtime.handles@4.3.0,system.runtime.handles@4.3.0,system.runtime.handles@4.3.0,NA,NA
system.runtime.interopservices.runtimeinformation@4.3.0,system.runtime.interopservices.runtimeinformation@4.3.0,system.runtime.interopservices.runtimeinformation@4.3.0,NA,NA
system.runtime.interopservices@4.3.0,system.runtime.interopservices@4.3.0,system.runtime.interopservices@4.3.0,NA,NA
system.runtime.numerics@4.3.0,system.runtime.numerics@4.3.0,system.runtime.numerics@4.3.0,NA,NA
system.runtime.serialization.formatters@4.3.0,system.runtime.serialization.formatters@4.3.0,system.runtime.serialization.formatters@4.3.0,NA,NA
system.runtime.serialization.json@4.3.0,system.runtime.serialization.json@4.3.0,system.runtime.serialization.json@4.3.0,NA,NA
system.runtime.serialization.primitives@4.3.0,system.runtime.serialization.primitives@4.3.0,system.runtime.serialization.primitives@4.3.0,NA,NA
system.runtime.serialization.xml@4.1.1,system.runtime.serialization.xml@4.1.1,system.runtime.serialization.xml@4.1.1,NA,NA
system.runtime@4.3.0,system.runtime@4.3.0,system.runtime@4.3.0,NA,NA
system.security.accesscontrol@4.7.0,system.security.accesscontrol@4.7.0,NA,NA,NA
system.security.accesscontrol@5.0.0,system.security.accesscontrol@5.0.0,system.security.accesscontrol@5.0.0,NA,NA
system.security.cryptography.algorithms@4.3.0,system.security.cryptography.algorithms@4.3.0,system.security.cryptography.algorithms@4.3.0,NA,NA
system.security.cryptography.cng@4.3.0,system.security.cryptography.cng@4.3.0,NA,NA,NA
system.security.cryptography.cng@5.0.0,system.security.cryptography.cng@5.0.0,system.security.cryptography.cng@5.0.0,NA,NA
system.security.cryptography.csp@4.3.0,system.security.cryptography.csp@4.3.0,system.security.cryptography.csp@4.3.0,NA,NA
system.security.cryptography.encoding@4.3.0,system.security.cryptography.encoding@4.3.0,system.security.cryptography.encoding@4.3.0,NA,NA
system.security.cryptography.openssl@4.3.0,system.security.cryptography.openssl@4.3.0,system.security.cryptography.openssl@4.3.0,NA,NA
system.security.cryptography.pkcs@4.7.0,system.security.cryptography.pkcs@4.7.0,system.security.cryptography.pkcs@4.7.0,NA,NA
system.security.cryptography.pkcs@6.0.0,system.security.cryptography.pkcs@6.0.0,system.security.cryptography.pkcs@6.0.0,NA,NA
system.security.cryptography.primitives@4.3.0,system.security.cryptography.primitives@4.3.0,system.security.cryptography.primitives@4.3.0,NA,NA
system.security.cryptography.protecteddata@4.4.0,system.security.cryptography.protecteddata@4.4.0,NA,NA,NA
system.security.cryptography.protecteddata@4.7.0,system.security.cryptography.protecteddata@4.7.0,NA,NA,NA
system.security.cryptography.protecteddata@5.0.0,system.security.cryptography.protecteddata@5.0.0,system.security.cryptography.protecteddata@5.0.0,NA,NA
system.security.cryptography.protecteddata@7.0.0,system.security.cryptography.protecteddata@7.0.0,system.security.cryptography.protecteddata@7.0.0,NA,NA
system.security.cryptography.x509certificates@4.3.0,system.security.cryptography.x509certificates@4.3.0,system.security.cryptography.x509certificates@4.3.0,['CVE-2017-11770'],NA
system.security.cryptography.xml@4.7.1,system.security.cryptography.xml@4.7.1,system.security.cryptography.xml@4.7.1,NA,NA
system.security.cryptography.xml@5.0.0,system.security.cryptography.xml@5.0.0,system.security.cryptography.xml@5.0.0,['CVE-2022-34716'],NA
system.security.permissions@4.7.0,system.security.permissions@4.7.0,NA,NA,NA
system.security.permissions@5.0.0,system.security.permissions@5.0.0,system.security.permissions@5.0.0,NA,NA
system.security.permissions@7.0.0,system.security.permissions@7.0.0,system.security.permissions@7.0.0,NA,NA
system.security.principal.windows@4.7.0,system.security.principal.windows@4.7.0,NA,NA,NA
system.security.principal.windows@5.0.0,system.security.principal.windows@5.0.0,system.security.principal.windows@5.0.0,NA,NA
system.security.securestring@4.3.0,system.security.securestring@4.3.0,system.security.securestring@4.3.0,NA,NA
system.servicemodel.http@4.10.0,system.servicemodel.http@4.10.0,system.servicemodel.http@4.10.0,NA,NA
system.servicemodel.primitives@4.10.0,system.servicemodel.primitives@4.10.0,system.servicemodel.primitives@4.10.0,NA,NA
system.text.encoding.codepages@5.0.0,system.text.encoding.codepages@5.0.0,system.text.encoding.codepages@5.0.0,NA,NA
system.text.encoding.codepages@6.0.0,system.text.encoding.codepages@6.0.0,system.text.encoding.codepages@6.0.0,NA,NA
system.text.encoding.extensions@4.3.0,system.text.encoding.extensions@4.3.0,system.text.encoding.extensions@4.3.0,NA,NA
system.text.encoding@4.3.0,system.text.encoding@4.3.0,system.text.encoding@4.3.0,NA,NA
system.text.encodings.web@7.0.0,system.text.encodings.web@7.0.0,system.text.encodings.web@7.0.0,NA,NA
system.text.json@7.0.0,system.text.json@7.0.0,system.text.json@7.0.0,NA,NA
system.text.regularexpressions@4.3.0,system.text.regularexpressions@4.3.0,system.text.regularexpressions@4.3.0,['CVE-2019-0820'],NA
system.threading.tasks.extensions@4.3.0,system.threading.tasks.extensions@4.3.0,NA,NA,NA
system.threading.tasks.extensions@4.5.4,system.threading.tasks.extensions@4.5.4,system.threading.tasks.extensions@4.5.4,NA,NA
system.threading.tasks.parallel@4.3.0,system.threading.tasks.parallel@4.3.0,NA,NA,NA
system.threading.tasks@4.3.0,system.threading.tasks@4.3.0,system.threading.tasks@4.3.0,NA,NA
system.threading.thread@4.3.0,system.threading.thread@4.3.0,system.threading.thread@4.3.0,NA,NA
system.threading.threadpool@4.3.0,system.threading.threadpool@4.3.0,system.threading.threadpool@4.3.0,NA,NA
system.threading.timer@4.3.0,system.threading.timer@4.3.0,system.threading.timer@4.3.0,NA,NA
system.threading@4.3.0,system.threading@4.3.0,system.threading@4.3.0,NA,NA
system.valuetuple@4.4.0,system.valuetuple@4.4.0,system.valuetuple@4.4.0,NA,NA
system.valuetuple@4.5.0,system.valuetuple@4.5.0,NA,NA,NA
system.windows.extensions@4.7.0,system.windows.extensions@4.7.0,NA,NA,NA
system.windows.extensions@5.0.0,system.windows.extensions@5.0.0,system.windows.extensions@5.0.0,NA,NA
system.windows.extensions@7.0.0,system.windows.extensions@7.0.0,system.windows.extensions@7.0.0,NA,NA
system.xml.readerwriter@4.3.0,system.xml.readerwriter@4.3.0,system.xml.readerwriter@4.3.0,NA,NA
system.xml.xdocument@4.3.0,system.xml.xdocument@4.3.0,system.xml.xdocument@4.3.0,NA,NA
system.xml.xmldocument@4.3.0,system.xml.xmldocument@4.3.0,system.xml.xmldocument@4.3.0,NA,NA
system.xml.xmlserializer@4.0.11,system.xml.xmlserializer@4.0.11,NA,NA,NA
system.xml.xmlserializer@4.3.0,system.xml.xmlserializer@4.3.0,system.xml.xmlserializer@4.3.0,NA,NA
vanguard@5.0.0,vanguard@5.0.0,NA,NA,NA
webmarkupmin.aspnet.common@2.13.8,webmarkupmin.aspnet.common@2.13.8,webmarkupmin.aspnet.common@2.13.8,NA,NA
webmarkupmin.aspnetcore7@2.13.8,webmarkupmin.aspnetcore7@2.13.8,webmarkupmin.aspnetcore7@2.13.8,NA,NA
webmarkupmin.core@2.13.8,webmarkupmin.core@2.13.8,webmarkupmin.core@2.13.8,NA,NA
webmarkupmin.nuglify@2.13.6,webmarkupmin.nuglify@2.13.6,webmarkupmin.nuglify@2.13.6,NA,NA
xlparser@1.5.2,xlparser@1.5.2,xlparser@1.5.2,NA,NA
NA,**version@for,NA,NA,NA
NA,@foliojs-fork/fontkit@1.9.1,@foliojs-fork/fontkit@1.9.1,NA,NA
NA,@foliojs-fork/linebreak@1.1.1,@foliojs-fork/linebreak@1.1.1,NA,NA
NA,@foliojs-fork/pdfkit@0.13.0,@foliojs-fork/pdfkit@0.13.0,NA,NA
NA,@foliojs-fork/restructure@2.0.2,@foliojs-fork/restructure@2.0.2,NA,NA
NA,@fortawesome/fontawesome-free@5.15.2,@fortawesome/fontawesome-free@5.15.2,NA,NA
NA,@fortawesome/fontawesome-free@5.15.4,@fortawesome/fontawesome-free@5.15.4,NA,NA
NA,@laylazi/bootstrap-rtl@4.6.0-1,@laylazi/bootstrap-rtl@4.6.0-1,NA,NA
NA,@lgaitan/pace-progress@1.0.7,@lgaitan/pace-progress@1.0.7,NA,NA
NA,@nodelib/fs.scandir@2.1.5,@nodelib/fs.scandir@2.1.5,NA,NA
NA,@nodelib/fs.stat@2.0.5,@nodelib/fs.stat@2.0.5,NA,NA
NA,@nodelib/fs.walk@1.2.8,@nodelib/fs.walk@1.2.8,NA,NA
NA,@popperjs/core@2.11.6,@popperjs/core@2.11.6,NA,NA
NA,@sweetalert2/theme-bootstrap-4@5.0.11,@sweetalert2/theme-bootstrap-4@5.0.11,NA,NA
NA,@ttskch/select2-bootstrap4-theme@1.5.2,@ttskch/select2-bootstrap4-theme@1.5.2,NA,NA
NA,@types/minimatch@3.0.5,@types/minimatch@3.0.5,NA,NA
NA,abbrev@1.1.1,abbrev@1.1.1,NA,NA
NA,acorn-node@1.8.2,acorn-node@1.8.2,NA,NA
NA,acorn-walk@7.2.0,acorn-walk@7.2.0,NA,NA
NA,acorn@7.4.1,acorn@7.4.1,NA,NA
NA,admin-lte@3.2.0,admin-lte@3.2.0,NA,NA
NA,aggregate-error@4.0.1,aggregate-error@4.0.1,NA,NA
NA,amdefine@1.0.1,amdefine@1.0.1,NA,NA
NA,ansi-colors@1.1.0,ansi-colors@1.1.0,NA,NA
NA,ansi-gray@0.1.1,ansi-gray@0.1.1,NA,NA
NA,ansi-regex@2.1.1,ansi-regex@2.1.1,NA,NA
NA,ansi-wrap@0.1.0,ansi-wrap@0.1.0,NA,NA
NA,anymatch@2.0.0,anymatch@2.0.0,NA,NA
NA,append-buffer@1.0.2,append-buffer@1.0.2,NA,NA
NA,archy@1.0.0,archy@1.0.0,NA,NA
NA,arr-diff@4.0.0,arr-diff@4.0.0,NA,NA
NA,arr-filter@1.1.2,arr-filter@1.1.2,NA,NA
NA,arr-flatten@1.1.0,arr-flatten@1.1.0,NA,NA
NA,arr-map@2.0.2,arr-map@2.0.2,NA,NA
NA,arr-union@3.1.0,arr-union@3.1.0,NA,NA
NA,array-differ@3.0.0,array-differ@3.0.0,NA,NA
NA,array-each@1.0.1,array-each@1.0.1,NA,NA
NA,array-from@2.1.1,array-from@2.1.1,NA,NA
NA,array-initial@1.1.0,array-initial@1.1.0,NA,NA
NA,array-last@1.3.0,array-last@1.3.0,NA,NA
NA,array-slice@1.1.0,array-slice@1.1.0,NA,NA
NA,array-sort@1.0.0,array-sort@1.0.0,NA,NA
NA,array-union@2.1.0,array-union@2.1.0,NA,NA
NA,array-unique@0.3.2,array-unique@0.3.2,NA,NA
NA,arrify@2.0.1,arrify@2.0.1,NA,NA
NA,assign-symbols@1.0.0,assign-symbols@1.0.0,NA,NA
NA,ast-transform@0.0.0,ast-transform@0.0.0,NA,NA
NA,ast-types@0.7.8,ast-types@0.7.8,NA,NA
NA,async-done@1.3.2,async-done@1.3.2,NA,NA
NA,async-each@1.0.3,async-each@1.0.3,NA,NA
NA,async-settle@1.0.0,async-settle@1.0.0,NA,NA
NA,atob@2.1.2,atob@2.1.2,NA,NA
NA,axios@0.26.1,axios@0.26.1,NA,NA
NA,bach@1.2.0,bach@1.2.0,NA,NA
NA,balanced-match@1.0.0,balanced-match@1.0.0,NA,NA
NA,base64-js@1.3.1,base64-js@1.3.1,NA,NA
NA,base@0.11.2,base@0.11.2,NA,NA
NA,binary-extensions@1.13.1,binary-extensions@1.13.1,NA,NA
NA,bindings@1.5.0,bindings@1.5.0,NA,NA
NA,bootstrap-colorpicker@3.4.0,bootstrap-colorpicker@3.4.0,NA,NA
NA,bootstrap-slider@11.0.2,bootstrap-slider@11.0.2,NA,NA
NA,bootstrap-switch@3.3.4,bootstrap-switch@3.3.4,NA,NA
NA,bootstrap-touchspin@4.3.0,bootstrap-touchspin@4.3.0,NA,NA
NA,bootstrap4-duallistbox@4.0.2,bootstrap4-duallistbox@4.0.2,NA,NA
NA,bootstrap@4.6.0,bootstrap@4.6.0,NA,NA
NA,bootstrap@4.6.2,bootstrap@4.6.2,NA,NA
NA,brace-expansion@1.1.11,brace-expansion@1.1.11,NA,NA
NA,braces@2.3.2,braces@2.3.2,NA,NA
NA,braces@3.0.2,braces@3.0.2,NA,NA
NA,brfs@2.0.2,brfs@2.0.2,NA,NA
NA,brotli@1.3.3,brotli@1.3.3,NA,NA
NA,browser-resolve@1.11.3,browser-resolve@1.11.3,NA,NA
NA,browserify-optional@1.0.1,browserify-optional@1.0.1,NA,NA
NA,bs-custom-file-input@1.3.4,bs-custom-file-input@1.3.4,NA,NA
NA,bs-stepper@1.7.0,bs-stepper@1.7.0,NA,NA
NA,buffer-crc32@0.2.13,buffer-crc32@0.2.13,NA,NA
NA,buffer-equal@0.0.1,buffer-equal@0.0.1,NA,NA
NA,buffer-equal@1.0.0,buffer-equal@1.0.0,NA,NA
NA,buffer-from@1.1.1,buffer-from@1.1.1,NA,NA
NA,cache-base@1.0.1,cache-base@1.0.1,NA,NA
NA,call-bind@1.0.2,call-bind@1.0.2,NA,NA
NA,camelcase@3.0.0,camelcase@3.0.0,NA,NA
NA,chart.js@2.9.4,chart.js@2.9.4,NA,NA
NA,chartjs-color-string@0.6.0,chartjs-color-string@0.6.0,NA,NA
NA,chartjs-color@2.4.1,chartjs-color@2.4.1,NA,NA
NA,chessie@0.6,NA,NA,NA
NA,chokidar@2.1.8,chokidar@2.1.8,NA,NA
NA,class-utils@0.3.6,class-utils@0.3.6,NA,NA
